title,desc,genre,media,len,sent_len,ECD,ECE,ECS,EFA,EFI,EFN,EFO,EFQ,EMO,EPH,EPT,ETD,ETN,IC,JC,JKC,JKG,JKI,JKM,JKO,JKQ,JKS,JX,MAC,MAG,MDN,MDT,NNB,NNG,NNM,NNP,NP,NR,OH,OL,SE,SF,SO,SP,SS,SW,UN,VA,VCN,VCP,VV,VX,VXA,VXV,XPN,XR,XSA,XSN,XSV,sent_num
제임스 브라운,"'소울의 대부'라 불렸던 미국의 뮤지션, 제임스 브라운. 극빈층 가정에 태어나 불우한 어린 시절을 보낸 그가 불세출의 싱어송라이터로 이름을 떨치게 되기까지. 그 파란만장한 인생 여정과 정신적 방황, 인간적 면모를 그려낸 작품.",영화,netflix,126,132.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
겟 스마트,비밀 첩보원으로서 제대로 활동하지 못하고 있던 불운한 요원 맥스웰 스마트는 첩보계의 슈퍼스타 '에이전트 99'와 함께 테러리스트 집단을 막아야만 한다.,영화,netflix,84,86.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1
겟 카터,"자기만의 방식으로 정의를 실현하는 해결사 카터. 동생의 사망 소식에 고향으로 돌아온다. 하지만 캐낼수록 석연치 않은 동생의 죽음. 받은 만큼, 아니 그 이상을 갚아주마.",영화,netflix,94,48.0,1.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,6.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2
갱스터 스쿼드,악명 높은 폭도들의 보스 미키 코헨이 로스앤젤레스를 손아귀에 넣으려고 한다. 하지만 그의 계획은 코헨을 끌어내리려는 냉혈한 경찰의 손에 달려 있는데...,영화,netflix,85,44.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2
강남 1970,넝마주이로 근근이 살아가던 종대와 용기. 정치 권력까지 개입된 강남땅 이권 다툼의 한복판에 서게 된다. 서로에게 칼끝을 겨누는 두 사람. 욕망의 질주는 이미 시작되었다.,영화,netflix,94,47.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,8.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2
고라 행성의 불청객,가짜 UFO 사진을 만들던 카펫 상인 아리프가 외계인에게 납치된다. 고라 행성으로 간 아리프는 운석 충돌에서 친구들을 구하고 자유를 되찾는다.,영화,netflix,79,40.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2
퓨리,"제2차 세계대전, 베테랑으로 구성된 전차에 신참이 합류한다. 임무는 적진을 헤쳐 아군을 지원하는 것. 인간성은 말살되었고 정신은 피폐하다. 병력은 부족하고 적군은 강력하다. 아비규환 속에서 이들은 어디까지 나아갈 수 있을 것인가.",영화,netflix,128,31.75,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,5.25,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,4
화니 걸,"무대에 서기엔 살짝 부족한 외모 때문에 주목받지 못하는 패니 브라이스. 그러나 타고난 재능은 숨길 수 없는 법, 파격적인 연기로 브로드웨이의 스타로 우뚝 선다. 하지만 거칠 것 없는 그녀도 도박꾼과의 사랑만은 피할 수 없었으니!",영화,netflix,127,63.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0,1.5,0.5,1.0,0.0,0.0,1.5,6.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2
공중돌기 너머,사고로 올림픽 출전의 꿈을 접어야 했던 체조선수 아리아나 베를린은 힙합과 대학 스포츠 경기 활동을 통해 점차 회복하며 희망을 찾는다.,영화,netflix,74,74.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
돈 많은 친구들,"LA에 사는 4명의 오랜 친구들. 유부녀와 싱글녀, 생활이 넉넉한 친구와 형편이 여의치 않은 친구. 이들의 우정은 계속될 수 있을까?",영화,netflix,74,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1
13일의 금요일,고전이 된 슬래셔 영화 《13일의 금요일》을 리메이크한 작품. 10대 캠프 지도 학생들이 가면을 쓴 살인마 제이슨 부히스의 분노에 불을 붙인다.,영화,netflix,80,41.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2
프리잭,사고로 죽음을 맞기 직전 현상금 사냥꾼에 의해 미래로 끌려온 카레이서. 건강한 몸에 뇌를 이식해 영원히 살고자 하는 부자의 표적이 된 것이다!,영화,netflix,79,82.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
프랑켄위니,유일한 친구인 강아지를 사고로 잃고 슬퍼하는 소년. 과학 실험시간에 얻은 아이디어로 다시 강아지를 살려낸다. 꿰맨 자국투성이라는 것만 빼면 예전 그대로. 보고 싶었어!,영화,netflix,93,46.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,2
파울볼,이 다큐멘터리는 한국 최초의 독립 야구단인 고양 원더스의 탄생부터 갑작스러운 해체에 이르기까지 이들의 모든 것을 다룬다.,영화,netflix,67,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
포레스트 검프,"전쟁 영웅에서 유명 인사로, 억만장자에서 예언자로. 세상에서 가장 특별한 머리와 멋진 다리를 가진 남자의 지그재그 질주. 세상도 운명도, 그를 따라잡진 못할 것이다.",영화,netflix,92,93.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
기억의 밤,"평범한 삼수생 진석은 자꾸 이상한 생각이 든다. 납치됐다 돌아온 형이 아무리 봐도 다른 사람인 것. 형은 어디로 사라졌나, 진상을 쫓던 그는 엄청난 사실과 마주한다.",영화,netflix,92,30.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,3
우리 생애 최고의 순간,"팀 결성에서 2004년 올림픽 출전에 이르기까지, 한국 여자 핸드볼팀의 좌충우돌 감동 실화가 펼쳐진다.",영화,netflix,57,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
사탄의 사자: 망자의 저주,한 지도 제작자가 우크라이나 깊은 숲 속을 이동하다가 악령이 깃들고 무시무시한 괴물에게 시달리는 외딴 마을에 발이 묶이게 된다.,영화,netflix,71,74.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
